"","opponent","event_day_of_week","days_before_event","section_name","channel","price_level","primary_tickets_sold","primary_average_ticket_price","churn"
"40178",20,"Sunday",88,53,"Back Office","R - 300L",2,"$14.58",0
"40179",31,"Saturday",5,34,"Web","D - 100L",2,"$65.52",0
"40180",23,"Saturday",33,79,"Web","O - 300L",4,"$55.55",0
"40181",25,"Thursday",9,25,"Web","D - 100L",2,"$175.74",0
"40182",25,"Saturday",1,79,"Back Office","O - 300L",2,"$58.56",1
"40183",20,"Thursday",31,26,"Web","C - 100L",2,"$116.73",0
"40184",30,"Tuesday",0,16,"Web","C - 100L",2,"$102.60",0
"40185",20,"Thursday",3,22,"Web","I - 100L",2,"$118.09",1
"40186",4,"Thursday",22,16,"Web","C - 100L",2,"$206.00",1
"40187",7,"Monday",14,38,"Back Office","L1 - 200L",3,"$67.72",1
"40188",16,"Saturday",80,48,"Web","O - 300L",1,"$80.75",0
"40189",30,"Sunday",93,63,"Web","N - 300L",1,"$51.90",0
"40190",27,"Wednesday",8,30,"Back Office","H - 100L",4,"$71.43",0
"40191",11,"Tuesday",29,41,"Back Office","K - 200L",6,"$59.08",1
"40192",27,"Monday",161,23,"Web","G - 100L",3,"$94.76",0
"40193",20,"Tuesday",68,47,"Web","P - 300L",4,"$27.48",0
"40194",31,"Saturday",1,23,"Back Office","G - 100L",3,"$76.06",1
"40195",7,"Monday",0,20,"Back Office","G - 100L",37,"$92.41",1
"40196",14,"Thursday",3,31,"Call Center","H - 100L",6,"$94.05",0
"40197",24,"Tuesday",0,34,"Web","D - 100L",2,"$137.25",0
"40198",24,"Thursday",45,16,"Web","C - 100L",2,"$140.94",0
"40199",20,"Tuesday",16,30,"Web","H - 100L",2,"$129.56",0
"40200",20,"Tuesday",90,25,"Web","D - 100L",1,"$128.59",0
"40201",2,"Wednesday",3,79,"Web","P - 300L",2,"$22.14",0
"40202",25,"Saturday",3,17,"Back Office","D - 100L",2,"$208.07",0
"40203",20,"Tuesday",19,33,"Web","D - 100L",2,"$144.97",0
"40204",20,"Tuesday",68,35,"Web","L1 - 200L",4,"$96.05",1
"40205",23,"Saturday",78,27,"Web","D - 100L",7,"$167.04",0
"40206",10,"Wednesday",1,66,"Back Office","P - 300L",3,"$22.51",0
"40207",9,"Thursday",2,24,"Web","D - 100L",2,"$147.90",0
"40208",12,"Saturday",0,55,"Web","R - 300L",2,"$27.83",0
"40209",14,"Saturday",1,17,"Web","D - 100L",1,"$191.73",0
"40210",25,"Thursday",35,16,"Web","C - 100L",2,"$169.89",0
"40211",20,"Thursday",0,28,"Back Office","D - 100L",1,"$121.93",1
"40212",31,"Tuesday",8,45,"Web","K - 200L",2,"$44.18",1
"40213",7,"Monday",13,22,"Back Office","I - 100L",4,"$64.60",1
"40214",11,"Tuesday",97,50,"Back Office","R - 300L",1,"$51.33",1
"40215",10,"Thursday",11,16,"Web","C - 100L",2,"$226.00",0
"40216",26,"Tuesday",0,30,"Back Office","F -100L",4,"$51.92",0
